AUDIT_ROW_ID,AUDIT_STATUS,SEVERITY,REFERENCE_IMAGE_POLICY,STAMP_FIELD_POLICY,ISSUE_CODES,RECOMMENDED_ACTION,UID,CARD_ID,NORMALIZED_CARD_ID,NAME,SETS,SOURCE_ENTRY_ID,IMAGE_BASENAME,IMAGE_URL_PRESENT,GALLERY_RARITY,COMPLETION_RARITY,COMPLETION_STAMP,FIELD_SOURCE,SOURCE_PREFIX_CARD_ID,SOURCE_PREFIX_SUFFIX,SOURCE_CARD_ID_MATCHES_GALLERY,IMAGE_REUSED_WITH_UIDS,IMAGE_REUSED_WITH_DIFFERENT_ROW_STATE,NOTES
reference-image-audit-001,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:AZK01-028A_Soryu-no-Rin_E_SR_Die,AZK01-028,AZK01-028,Sōryū no Rin,Booster,AZK01-028A_Soryu-no-Rin_E_SR_Die,AZK01-028A_Soryu-no-Rin_E_SR_Die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,AZK01-028,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-002,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:AZK01-042A_Thunderclap_S_SR_TEX2_Die,AZK01-042,AZK01-042,Thunderclap,Booster,AZK01-042A_Thunderclap_S_SR_TEX2_Die,AZK01-042A_Thunderclap_S_SR_TEX2_Die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,AZK01-042,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-003,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:AZK01-054A_Teb-Fea_E_SR_Die,AZK01-054,AZK01-054,Teb Fea,Booster,AZK01-054A_Teb-Fea_E_SR_Die,AZK01-054A_Teb-Fea_E_SR_Die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,AZK01-054,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-004,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:AZK01-064A_Zero_E_SR_Die,AZK01-064,AZK01-064,Zero,Booster,AZK01-064A_Zero_E_SR_Die,AZK01-064A_Zero_E_SR_Die.jpg,true,SR ★,SR,Alpha,linked_alpha_master_sheet; official_gallery_image_url,AZK01-064,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-005,needs_review,high,suppress_reference_image,display_stamp_if_present,source_entry_card_id_disagrees_with_gallery_card_id,Suppress the reference image until the row identity and image/source identity are reconciled.,azuki_tcg_official_gallery:S1-AZK01-079A_Gin-and-Tonika_E_SR_die,AZK01-080,AZK01-080,Gin and Tonika,Booster,S1-AZK01-079A_Gin-and-Tonika_E_SR_die,S1-AZK01-079A_Gin-and-Tonika_E_SR_die.jpg,true,SR ★,SR ★,Booster,official_gallery_api; image_view_illustrator,AZK01-079,A,false,,false,Parsed source/image card ID does not match gallery card_id after normalization.
reference-image-audit-006,needs_review,high,suppress_reference_image,display_stamp_if_present,source_entry_card_id_disagrees_with_gallery_card_id,Suppress the reference image until the row identity and image/source identity are reconciled.,azuki_tcg_official_gallery:S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die,AZK01-088,AZK01-088,Mizuryuu's Torrent,Booster,S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die,S1-AZK01-087A_Mizuryuus-Torrent_S_SR_die.jpg,true,SR ★,SR ★,Booster,official_gallery_api; image_view_illustrator,AZK01-087,A,false,,false,Parsed source/image card ID does not match gallery card_id after normalization.
reference-image-audit-007,needs_review,high,suppress_reference_image,display_stamp_if_present,source_entry_card_id_disagrees_with_gallery_card_id,Suppress the reference image until the row identity and image/source identity are reconciled.,azuki_tcg_official_gallery:S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die,AZK01-100,AZK01-100,"Raiko's Wrath, Shin",Booster,S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die,S1-AZK01-099A_Raikos-Wrath-Shin_E_SR_die.jpg,true,SR,SR,Booster,official_gallery_api; image_view_illustrator,AZK01-099,A,false,,false,Parsed source/image card ID does not match gallery card_id after normalization.
reference-image-audit-008,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:AZP-001_IKZ!_IKZ-Token-AX-Participation_Die,AZP-001,AZP-001,IKZ Token,Promo,AZP-001_IKZ!_IKZ-Token-AX-Participation_Die,AZP-001_IKZ!_IKZ-Token-AX-Participation_Die.jpg,true,IKZ,,Alpha,linked_alpha_master_sheet; official_gallery_image_url,AZP-001,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-009,needs_review,medium,display_reference_image,display_stamp_if_present,completion_row_missing_gallery_star,Use row-specific gallery rarity; do not let card-level Alpha completion flatten this variant.,azuki_tcg_official_gallery:IKZ-001A_IKZ!_IKZ_Die,IKZ-001,IKZ-001,IKZ,Booster,IKZ-001A_IKZ!_IKZ_Die,IKZ-001A_IKZ!_IKZ_Die.jpg,true,IKZ ★,,Alpha,linked_alpha_master_sheet; official_gallery_image_url,IKZ-001,A,true,,false,Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-010,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:IKZ-001_IKZ!_IKZ_die,IKZ-001,IKZ-001,IKZ,Starter Deck 1; Starter Deck 2; Starter Deck 3; Starter Deck 4; Booster,IKZ-001_IKZ!_IKZ_die,IKZ-001_IKZ!_IKZ_die.jpg,true,IKZ,,Alpha,linked_alpha_master_sheet; official_gallery_image_url,IKZ-001,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-011,needs_review,high,suppress_reference_image,display_stamp_if_present,source_entry_card_id_disagrees_with_gallery_card_id; completion_row_missing_gallery_star,Suppress the reference image until the row identity and image/source identity are reconciled.,azuki_tcg_official_gallery:IKZ-002A_IKZ!_IKZ-Token_Die,IKZ-001,IKZ-001,IKZ Token,Booster,IKZ-002A_IKZ!_IKZ-Token_Die,IKZ-002A_IKZ!_IKZ-Token_Die.jpg,true,IKZ ★,,Alpha,linked_alpha_master_sheet; official_gallery_image_url,IKZ-002,A,false,,false,Parsed source/image card ID does not match gallery card_id after normalization. Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-012,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:IKZ-002_IKZ!_IKZ-Token_Die,IKZ-002,IKZ-002,IKZ Token,Starter Deck 1; Starter Deck 2; Starter Deck 3; Starter Deck 4; Booster,IKZ-002_IKZ!_IKZ-Token_Die,IKZ-002_IKZ!_IKZ-Token_Die.jpg,true,IKZ,,Alpha,linked_alpha_master_sheet; official_gallery_image_url,IKZ-002,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
reference-image-audit-013,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row; completion_row_missing_gallery_star,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-001AX1_Raizan_L_INV26-WINNER_die,STT01-001,STT01-001,Raizan,Promo,S1-STT01-001AX1_Raizan_L_INV26-WINNER_die,S1-STT01-001AX1_Raizan_L_INV26-WINNER_die.jpg,true,L ★,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-001,AX1,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row. Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-014,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row; completion_row_missing_gallery_star,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-001AX2_Raizan_L_INV26-SECOND_die,STT01-001,STT01-001,Raizan,Promo,S1-STT01-001AX2_Raizan_L_INV26-SECOND_die,S1-STT01-001AX2_Raizan_L_INV26-SECOND_die.jpg,true,L ★,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-001,AX2,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row. Gallery row is star/alt but completion rarity is flattened.
reference-image-audit-015,needs_review,medium,display_reference_image,suppress_inherited_alpha_stamp,inherited_alpha_stamp_on_non_alpha_gallery_row,Do not display the Alpha-sheet stamp as a row-specific stamp for this official gallery row.,azuki_tcg_official_gallery:S1-STT01-001_Raizan_L_L_die,STT01-001,STT01-001,Raizan,Starter Deck 1,S1-STT01-001_Raizan_L_L_die,S1-STT01-001_Raizan_L_L_die.jpg,true,L,L,Alpha,linked_alpha_master_sheet; official_gallery_image_url,STT01-001,,true,,false,Alpha-sheet stamp is inherited by card-id crosswalk into a non-Booster official gallery row.
