"ID","IKZ COST","NAME","ELEMENT","TYPE","SUBTYPE_1","SUBTYPE_2","SUBTYPE_3","GATE_PWR","ATK","HP","PLUS_ATK","REF_IP","REF_ID","REF_IP2","REF_ID2","RARITY","ILLUSTRATOR","E_1","E_1_TEXT","E_2","E_2_TEXT","F_TEXT","DEFINITION_TEXT","RULING_TEXT","STAMP","IMG","ALT_IMG","",""
"AZK01-001","1","Penny","Neutral","Entity","BEANZ","-","-","0","0","1","-","BEANZ","192","N/A","-","C","Emily Rose McGonigle","Defender","-","N/A","-","Hic! Whoops... I just fell right in front of that hit, didn't I?","Defender","-","Alpha","","-","",""
"AZK01-002","1","Healing Flutter","Neutral","Spell","BEANZ","-","-","","","","-","BEANZ","44","N/A","-","UC","Pandart Studio","Main","Heal 2 to your leader.","N/A","-","Don't worry, I'll patch you up! One bean-sized boost at a time.","-","Spell","Alpha","","-","",""
"AZK01-003","1","Black Jade Courier","Neutral","Entity","Black Jade","Strider","-","0","1","1","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Look at the top 5 cards of your deck, reveal up to 1 Black Jade card other than Black Jade Courier and add it to your hand, then bottom deck the rest in any order.","N/A","-","Sometimes delivery is more than just bringing things. It's about bringing pain.","-","-","Alpha","","-","",""
"AZK01-004","1","Alley Thug","Neutral","Entity","Dawnling","Alley Dweller","-","0","1","1","-","Elementals","10078","N/A","-","C","Volta","When Attacking","This card gets +1 attack until the end of the turn.","N/A","-","Watch out! I'm the reason your night just got interesting.","-","-","Alpha","","-","",""
"AZK01-005","4","Caravan Guard","Neutral","Entity","Samurai","Steelborn","-","1","2","2","-","Azuki","24","N/A","-","UC","DKANG!","On Play","Deal up to 1 damage to an entity in you opponents Garden.","N/A","-","A caravan guard's duty is clear: protect the cargo, no matter the cost.","-","-","Alpha","","-","",""
"AZK01-006","2","Gus","Neutral","Entity","BEANZ","Trickster","-","1","1","1","-","BEANZ","53","N/A","-","R","nJoo","When Attacked","You may return this card to your hand.","N/A","-","Real G's move in silence, like lasagna.","-","-","Alpha","","-","",""
"AZK01-007","2","Johnny","Neutral","Entity","BEANZ","Invigorate","-","0","1","1","-","BEANZ","98","N/A","-","C","Volta","On Play","Give an entity in your Garden +1 attack until the end of the turn.","N/A","-","Understand the grind or get left in the drip. Move it!","-","-","Alpha","","-","",""
"AZK01-008","3","Rainy Day Assassin","Neutral","Entity","Assassin","-","-","1","2","1","-","Azuki","171","N/A","-","C","Tomugi","On Play","You may sacrifice this card: Destroy an entity with a cost of ❸ or less in your opponent's Garden.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-009","1","The Red Bean","Neutral","Spell","Legendary Bean","-","-","","","","-","N/A","-","N/A","-","R","Azuki TCG","Main","Give an entity with a cost of ❹ or less Charge.","N/A","-","-","Charge","Spell","Alpha","","-","",""
"AZK01-010","3","JD","Neutral","Entity","Dawnling","JD","-","1","1","2","-","Azuki","55","N/A","-","C","Skycrow","N/A","If you only have NeutralElementIcon entities in your Garden, this card has +2 attack.","N/A","-","Music's flowin', wheels keep rollin', sun's up high and the vibe's still golden.","-","-","Alpha","","-","",""
"AZK01-011","3","Rooftop Hunter","Neutral","Entity","Steelborn","-","-","1","2","1","-","Azuki","92","N/A","-","C","Volta","Charge","-","Garden Only Ability","If this card is untapped at the end of your turn, sacrifice it.","The hunt doesn't start with noise, it starts with silence.","Charge","-","Alpha","","-","",""
"AZK01-012","4","Ed","Neutral","Entity","BEANZ","-","-","1","3","3","-","BEANZ","141","N/A","-","C","Pandart Studio","N/A","-","N/A","-","Pain makes Ed grow. Growing is what Ed wants. Therefore, for Ed, pain is pleasure.","-","-","Alpha","","-","",""
"AZK01-013","5","Gou the Iron Judge","Neutral","Entity","Fatedealer","-","-","1","3","3","-","Azuki","83","N/A","-","UC","Azuki Art Team","On Play","Your opponent chooses 1— • Sacrifice an entity in their Garden. • Discard 2.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-014","5","Trade Guild Cavalry","Neutral","Entity","Samurai","Invigorate","-","2","3","3","-","Azuki","70","N/A","-","R","Tomugi","When Attacking","Give another entity in your Garden +2 attack until the end of your turn.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-015","6","Mo","Neutral","Entity","Dawnling","Fox Fire","-","1","4","4","-","Azuki","4885","N/A","-","SR","Pandart Studio","On Play","If your leader is— • WaterElementIcon: untap 1 IKZ. • EarthElementIcon: heal 2 to your leader. • LightningElementIcon: gain Charge. • FireElementIcon: deal 2 damage to target leader.","N/A","-","-","Charge","-","Alpha","","-","",""
"AZK01-016","1","Sleight of Hand","Neutral","Spell","Trickster","-","-","","","","-","Azuki","157","N/A","-","C","Volta","Main","Draw 2, then discard 2.","N/A","-","A blink of an eye, and the impossible becomes possible.","-","Spell","Alpha","","-","",""
"AZK01-017","2","Hook Sword Strike","Neutral","Spell","Steelborn","-","-","","","","-","Azuki","11","N/A","-","UC","Volta","Main","Deal up to 1 damage to an entity in any Garden and up to 1 damage to a leader.","N/A","-","Two blades flash in unison. No target slips through.","-","Spell","Alpha","","-","",""
"AZK01-018","4","Monk Staff of Warding","Neutral","Weapon","Staff","-","-","","","","3","N/A","-","N/A","-","C","Pandart Studio","N/A","Leaders equipped with this card take 1 less damage from combat.","N/A","-","More than aggression, the staff is a shield for the innocent and a barrier against darkness.","-","-","Alpha","","-","",""
"AZK01-019","3","Jay","Neutral","Entity","BEANZ","-","-","1","2","1","-","BEANZ","101","N/A","-","C","nJoo","N/A","If you only have NeutralElementIcon entities in your Garden, this card has +2 health.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-020","3","Power of Friendship","Neutral","Spell","BEANZ","JD","-","","","","-","Azuki","157","BEANZ","101","R","Skycrow","Main","Give 2 entities in your Garden each +1 attack until the end of the turn.","Response","Give 2 entities in your Garden each +1 health until the end of the turn.","-","-","Response","Alpha","","-","",""
"AZK01-021","1","Mizuto","Water","Entity","Wavecaller","-","-","1","1","1","-","N/A","-","N/A","-","C","Pandart Studio","On Play","Look at the top 5 cards of your deck, reveal up to 1 Driftward card and add it to your hand, then bottom deck the rest in any order.","N/A","-","Remember, Maho: Cast wide, and hold tight to catch that turns the tide.","-","-","Alpha","","-","",""
"AZK01-022","2","Mirage Frog","Water","Entity","Frog","Watercrafting","Rippleborn","1","1","2","-","N/A","-","N/A","-","UC","Pandart Studio","On Play","You may discard 1: Return an entity with a cost of ❷ or less in any Garden to its owner's hand.","N/A","-","-","-","-","Alpha","","-","",""
"AZK01-023","3","Maho","Water","Entity","Wavecaller","-","-","1","1","2","-","N/A","-","N/A","-","C","Pandart Studio","Garden Only Ability","-","End of Your Turn","If you have 2 or less cards in your hand, draw 1.","Out here with big bro, the horizon always feels within reach.","-","-","Alpha","","-","",""
