ID,IKZ COST,NAME,ELEMENT,TYPE,SUBTYPE_1,SUBTYPE_2,SUBTYPE_3,GATE_PWR,ATK,HP,PLUS_ATK,REF_IP,REF_ID,REF_IP2,REF_ID2,RARITY,ILLUSTRATOR,E_1,E_1_TEXT,E_2,E_2_TEXT,F_TEXT,DEFINITION_TEXT,RULING_TEXT,STAMP,IMG,ALT_IMG,ROW_KEY,SOURCE_RELEASE,SOURCE_ENTRY_ID,SETS,IMAGE_URL,FIELD_SOURCE,MISSING_ALPHA_FIELDS,REVIEW_STATUS
AZK01-001,1,Penny,Neutral,Entity,BEANZ,,,0,0,1,,BEANZ,192,,,C,Emily Rose McGonigle,Defender,,,,"Hic! Whoops... I just fell right in front of that hit, didn't I?",Defender,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-001_Penny_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-001_Penny_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-001_Penny_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-001_Penny_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_1_TEXT; E_2; E_2_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-002,1,Healing Flutter,Neutral,Spell,BEANZ,,,,,,,BEANZ,44,,,UC,Pandart Studio,Main,Heal 2 to your leader.,,,"Don't worry, I'll patch you up! One bean-sized boost at a time.",,Spell,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-002_Healing-Flutter_S_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-002_Healing-Flutter_S_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-002_Healing-Flutter_S_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-002_Healing-Flutter_S_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; ALT_IMG,sheet_sourced
AZK01-003,1,Black Jade Courier,Neutral,Entity,Black Jade,Strider,,0,1,1,,,,,,C,Pandart Studio,On Play,"Look at the top 5 cards of your deck, reveal up to 1 Black Jade card other than Black Jade Courier and add it to your hand, then bottom deck the rest in any order.",,,Sometimes delivery is more than just bringing things. It's about bringing pain.,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-003_Black-Jade-Courier_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-003_Black-Jade-Courier_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-003_Black-Jade-Courier_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-003_Black-Jade-Courier_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-004,1,Alley Thug,Neutral,Entity,Dawnling,Alley Dweller,,0,1,1,,Elementals,10078,,,C,Volta,When Attacking,This card gets +1 attack until the end of the turn.,,,Watch out! I'm the reason your night just got interesting.,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-004_Alley-Thug_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-004_Alley-Thug_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-004_Alley-Thug_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-004_Alley-Thug_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-005,4,Caravan Guard,Neutral,Entity,Samurai,Steelborn,,1,2,2,,Azuki,24,,,UC,DKANG!,On Play,Deal up to 1 damage to an entity in you opponents Garden.,,,"A caravan guard's duty is clear: protect the cargo, no matter the cost.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-005_Caravan-Guard_E_UC_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-005_Caravan-Guard_E_UC_die,alpha_master_sheet_crosswalk,S1-AZK01-005_Caravan-Guard_E_UC_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-005_Caravan-Guard_E_UC_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-006,2,Gus,Neutral,Entity,BEANZ,Trickster,,1,1,1,,BEANZ,53,,,R,nJoo,When Attacked,You may return this card to your hand.,,,"Real G's move in silence, like lasagna.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-006_Gus_E_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-006_Gus_E_R_die,alpha_master_sheet_crosswalk,S1-AZK01-006_Gus_E_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-006_Gus_E_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-007,2,Johnny,Neutral,Entity,BEANZ,Invigorate,,0,1,1,,BEANZ,98,,,C,Volta,On Play,Give an entity in your Garden +1 attack until the end of the turn.,,,Understand the grind or get left in the drip. Move it!,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-007_Johnny_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-007_Johnny_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-007_Johnny_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-007_Johnny_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-008,3,Rainy Day Assassin,Neutral,Entity,Assassin,,,1,2,1,,Azuki,171,,,C,Tomugi,On Play,You may sacrifice this card: Destroy an entity with a cost of ❸ or less in your opponent's Garden.,,,,,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-008_Rainy-Day-Assassin_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-008_Rainy-Day-Assassin_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-008_Rainy-Day-Assassin_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-008_Rainy-Day-Assassin_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
AZK01-009,1,The Red Bean,Neutral,Spell,Legendary Bean,,,,,,,,,,,R,Azuki TCG,Main,Give an entity with a cost of ❹ or less Charge.,,,,Charge,Spell,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-009_The-Red-Bean_S_R_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-009_The-Red-Bean_S_R_die,alpha_master_sheet_crosswalk,S1-AZK01-009_The-Red-Bean_S_R_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-009_The-Red-Bean_S_R_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_2; SUBTYPE_3; GATE_PWR; ATK; HP; PLUS_ATK; REF_IP; REF_ID; REF_IP2; REF_ID2; E_2; E_2_TEXT; F_TEXT; ALT_IMG,sheet_sourced
AZK01-010,3,JD,Neutral,Entity,Dawnling,JD,,1,1,2,,Azuki,55,,,C,Skycrow,,"If you only have NeutralElementIcon entities in your Garden, this card has +2 attack.",,,"Music's flowin', wheels keep rollin', sun's up high and the vibe's still golden.",,,Alpha,https://static-content.azuki.com/tcg/card_art/S1-AZK01-010_JD_E_C_die.jpg,,azuki_tcg_official_gallery:S1-AZK01-010_JD_E_C_die,alpha_master_sheet_crosswalk,S1-AZK01-010_JD_E_C_die,Booster,https://static-content.azuki.com/tcg/card_art/S1-AZK01-010_JD_E_C_die.jpg,linked_alpha_master_sheet; official_gallery_image_url,SUBTYPE_3; PLUS_ATK; REF_IP2; REF_ID2; E_1; E_2; E_2_TEXT; DEFINITION_TEXT; RULING_TEXT; ALT_IMG,sheet_sourced
