scenario,n,packet_complete_rate,final_receipt_rate,ambiguous_without_grid_rate,top_resolution
buyer_remorse,1177,1.0,1.0,0.0,"[('buyer_remorse_not_covered', 1177)]"
clean_close,38917,1.0,1.0,0.0,"[('final_receipt', 38917)]"
insured_damaged,1288,0.372,0.0,0.628,"[('carrier_claim', 1288)]"
insured_lost,867,0.999,0.0,0.001,"[('carrier_claim', 867)]"
local_handoff_dispute,222,0.959,0.0,1.0,"[('handoff_dispute', 222)]"
material_misdescription,1551,1.0,0.0,0.0,"[('condition_or_identity_dispute', 1551)]"
porch_theft,845,1.0,0.0,1.0,"[('delivered_not_received_review', 845)]"
route_delay,2994,1.0,0.0,0.0,"[('route_monitoring', 2994)]"
seller_nonship,724,1.0,0.0,0.0,"[('nonshipment_dispute', 724)]"
underinsured_lost,416,0.952,0.0,1.0,"[('underinsurance_gap', 416)]"
uninsured_lost,117,0.949,0.0,1.0,"[('route_risk_dispute', 117)]"
verifier_mismatch,309,0.903,0.0,1.0,"[('verifier_condition_dispute', 309)]"
wrong_card,573,1.0,0.0,0.0,"[('condition_or_identity_dispute', 573)]"
